Price,Rating,graphic_card,Company,touchscreen,Gen_type,Ram_in_gb,Disk_drive,Processor_Name,processor_type,Operating_System
244990,4.204958677685946,Yes,MSI,No,10,32,SSD,Intel,i9,Windows 10
46890,4.204958677685946,No,Asus,No,10,4,HDD,Intel,i5,Windows 10
67990,4.5,Yes,HP,No,10,16,SSD,Intel,i5,Windows 10
129703,4.204958677685946,No,Lenovo,No,10,8,SSD,Intel,i7,Windows 10
112040,4.5,No,HP,No,8,8,SSD,Intel,i5,Mac
80990,4.5,No,HP,Yes,10,8,SSD,Intel,i7,Windows 10
151999,4.204958677685946,No,Dell,No,10,8,SSD,Intel,i5,Windows 10
269990,4.204958677685946,Yes,Asus,Yes,10,32,SSD,Intel,i9,Windows 10
30990,3.8,No,Lenovo,No,10,4,HDD,Intel,i3,DOS
43990,4.204958677685946,No,Asus,No,Not Mentioned,4,SSD,AMD,Ryzen 5,Windows 10
105990,5.0,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
72990,4.5,Yes,MSI,No,Not Mentioned,16,SSD,AMD,Ryzen 5,Windows 10
189990,4.8,Yes,MSI,No,8,16,SSD,Intel,i7,Windows 10
76990,4.204958677685946,Yes,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
159990,4.9,Yes,ALIENWARE,No,10,16,SSD,Intel,i7,Windows 10
58998,4.204958677685946,No,Lenovo,Yes,10,8,SSD,AMD,Ryzen 5,Windows 10
160090,3.7,Yes,Acer,No,10,16,SSD,Intel,i7,Windows 10
224990,4.204958677685946,Yes,Asus,Yes,10,32,SSD,Intel,i7,Windows 10
79990,3.0,Yes,Asus,No,7,8,Both,Intel,i7,Windows 10
149990,4.1,Yes,MSI,No,8,16,SSD,Intel,i7,Windows 10
42990,4.204958677685946,No,Acer,No,8,8,HDD,Intel,i7,Windows 10
54990,4.3,No,Asus,No,8,8,SSD,Intel,i5,Windows 10
46990,3.9,No,Dell,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
64990,3.8,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
243990,4.0,Yes,ALIENWARE,No,10,16,SSD,Intel,i7,Windows 10
75990,4.204958677685946,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
224990,4.204958677685946,Yes,Asus,No,10,32,SSD,Intel,i7,Windows 10
43590,4.204958677685946,No,Asus,No,10,8,Both,Intel,i3,Windows 10
47990,4.0,No,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
69990,4.4,No,Acer,No,10,8,SSD,Intel,i5,Windows 10
64990,4.204958677685946,Yes,Lenovo,No,10,8,Both,Intel,i5,Windows 10
73490,4.5,No,Dell,No,10,8,SSD,Intel,i5,Windows 10
121990,4.6,Yes,HP,No,Not Mentioned,16,SSD,AMD,Ryzen 7,Windows 10
162990,3.3,No,HP,Yes,10,16,SSD,Intel,i7,Windows 10
72999,4.204958677685946,No,HP,Yes,10,8,SSD,Intel,i5,Windows 10
204990,5.0,Yes,Asus,Yes,8,16,SSD,Intel,i9,Windows 10
98912,4.204958677685946,No,Asus,No,8,8,Both,Intel,i7,Windows 10
239990,4.204958677685946,Yes,MSI,No,10,32,Both,Intel,i9,Windows 10
56990,4.204958677685946,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
50990,4.8,No,Asus,Yes,Not Mentioned,4,SSD,AMD,Ryzen 3,Windows 10
126000,4.204958677685946,No,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
199900,4.3,Yes,Apple,No,8,16,SSD,Intel,i9,Mac
109990,4.6,Yes,Acer,No,10,16,Both,Intel,i7,Windows 10
46990,4.2,Yes,Lenovo,No,8,8,HDD,Intel,i5,Windows 10
156990,4.204958677685946,Yes,MSI,Yes,10,16,SSD,Intel,i7,Windows 10
264990,4.204958677685946,Yes,MSI,No,10,32,SSD,Intel,i7,Windows 10
209990,4.204958677685946,Yes,ALIENWARE,No,9,16,Both,Intel,i7,Windows 10
127990,5.0,No,HP,Yes,10,8,SSD,Intel,i5,Windows 10
74990,4.5,No,Lenovo,No,8,8,SSD,Intel,i5,Windows 10
159990,4.204958677685946,Yes,MSI,No,10,16,Both,Intel,i7,Windows 10
46990,4.1,Yes,Lenovo,No,9,8,HDD,Intel,i5,Windows 10
96490,4.204958677685946,Yes,HP,No,10,8,SSD,Intel,i5,Windows 10
54990,4.204958677685946,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
102990,5.0,Yes,Asus,No,7,16,Both,Intel,i7,Windows 10
69990,4.8,No,LG,No,8,8,SSD,Intel,i5,Windows 10
210520,4.204958677685946,Yes,HP,Yes,10,16,SSD,Intel,i5,Windows 10
60990,4.4,Yes,MSI,No,8,8,HDD,Intel,i5,Windows 10
65990,4.5,Yes,Acer,No,7,8,Both,Intel,i5,Windows 10
49990,3.9,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
33990,3.7,No,Dell,No,10,4,HDD,Intel,i3,Windows 10
103990,4.204958677685946,Yes,Acer,No,8,16,SSD,Intel,i5,Windows 10
81890,4.0,Yes,HP,Yes,10,8,SSD,Intel,i5,Windows 10
